year_dateformat,Code,Quantity
2013-03-01,AV2L,5
2013-04-01,AV2L,52
2013-05-01,AV2L,54
2013-06-01,AV2L,27
2013-07-01,AV2L,50
2013-08-01,AV2L,25
2013-09-01,AV2L,28
2013-10-01,AV2L,21
2013-11-01,AV2L,26
2013-12-01,AV2L,47
2014-01-01,AV2L,88
2014-02-01,AV2L,17
2014-03-01,AV2L,214
2014-04-01,AV2L,31
2014-05-01,AV2L,24
2014-06-01,AV2L,20
2014-07-01,AV2L,95
2014-08-01,AV2L,56
2014-09-01,AV2L,90
2014-10-01,AV2L,118
2014-11-01,AV2L,186
2014-12-01,AV2L,248
2015-01-01,AV2L,221
2015-02-01,AV2L,118
2015-03-01,AV2L,84
2015-04-01,AV2L,94
2015-05-01,AV2L,94
2015-06-01,AV2L,167
2015-07-01,AV2L,209
2015-08-01,AV2L,198
2015-09-01,AV2L,210
2015-10-01,AV2L,301
2015-11-01,AV2L,221
2015-12-01,AV2L,268
2016-01-01,AV2L,292
2016-02-01,AV2L,84
2016-03-01,AV2L,182
2016-04-01,AV2L,96
2016-05-01,AV2L,80
2016-06-01,AV2L,52
2016-07-01,AV2L,48
2016-08-01,AV2L,72
2016-09-01,AV2L,21
2016-10-01,AV2L,25
2016-11-01,AV2L,24
2016-12-01,AV2L,25
2017-01-01,AV2L,25
2017-02-01,AV2L,8
2017-03-01,AV2L,8
2017-04-01,AV2L,11
2017-05-01,AV2L,7
2017-06-01,AV2L,5
2017-07-01,AV2L,2
2017-08-01,AV2L,4
2017-09-01,AV2L,2
2017-10-01,AV2L,12
2017-11-01,AV2L,3
2017-12-01,AV2L,9
2018-01-01,AV2L,6
2018-02-01,AV2L,4
2018-04-01,AV2L,2
2018-05-01,AV2L,2
2018-06-01,AV2L,1
2018-07-01,AV2L,1
2018-08-01,AV2L,1
2018-09-01,AV2L,2
2018-10-01,AV2L,1
2018-11-01,AV2L,1
2018-12-01,AV2L,2
2019-06-01,AV2L,1
2019-07-01,AV2L,1
